hallucinated_type,LLM_Baseline,V4_Prompt,DmAVID_Hybrid,combined
access_control,92,75,4,171
unchecked_low_level_calls,57,62,21,140
reentrancy,21,39,17,77
arithmetic,29,16,2,47
denial_of_service,20,2,2,24
time_manipulation,1,10,0,11
race_condition_in_approve,4,0,0,4
approval_race_condition,3,0,0,3
bad_randomness,1,2,0,3
missing_approval_mechanism,1,0,0,1
use_of_throw_(deprecated),1,0,0,1
tx.origin_authentication,0,1,0,1
unchecked_call_return,0,0,1,1

__total_FP_count__,95,75,24,—
__FP_with_any_type__,95,75,24,—
__avg_types_per_FP__,2.42,2.76,1.96,—
